nazwa;long;lat;ocena;ilosc_recenzji;adres
Bar Piero?k;17.0442335;51.1193174;4.6;291.0;Ksi?a J??a Poniatowskiego 3, 50-326 Wroc?w
Barnaba. Bar;17.046246;51.123109899999996;4.5;31.0;Wygodna 13, 50-323 Wroc?w
Pizza na dow??roc?w - Pizzeria ProPizza!;17.050425;51.1267564;4.3;119.0;Karola Miarki 14, 50-306 Wroc?w
4 Seasons;17.0567801;51.1282084;4.5;137.0;Stefana Jaracza 77, 50-305 Wroc?w
Ti Amo!;17.058158499999998;51.126449900000004;4.5;221.0;Stefana Jaracza 57/57a, 48-300 Wroc?w
A'ola;17.056248999999998;51.1245499;3.9;23.0;Damrota 33B, 50-306 Wroc?w
Green Bus;17.032086399999997;51.1209331;4.8;191.0;Stanis?wa Dubois 2/1A, 50-208 Wroc?w
Nadodrze Cafe Resto Bar;17.032086399999997;51.1209331;4.3;458.0;Drobnera 26A, 50-257 Wroc?w
Mamine Smaki;17.032086399999997;51.1209331;4.7;60.0;Pomorska 27, 52-007 Wroc?w
Powoli;17.0325478;51.120135;4.5;125.0;Ludwika Rydygiera 25, 48-300 Wroc?w
Ogie??;17.031153;51.1199044;4.5;269.0;Morska 39, 50-216 Wroc?w
Wroclov Bar;17.028401100000004;51.1197394;4.1;22.0;W?ka 5, 50-249 Wroc?w
Bistro Naro?ik;17.030160600000002;51.119604700000004;4.5;377.0;Ludwika Rydygiera 30, 50-001 Wroc?w
Wilk Syty;17.034301899999996;51.120795;4.7;277.0;Trzebnicka 3, 50-231 Wroc?w
Thai-viet;17.0366891;51.1207723;4.0;50.0;Henryka Pobo?ego 8, 48-300 Wroc?w
Pizza Rino;17.0374562;51.1208649;4.7;213.0;Jedno?i Narodowej 88/1C, 50-261 Wroc?w
KluboKawiarnia Wincentego 21;17.030664899999998;51.122442299999996;3.7;21.0;?i?go Wincentego 21, 50-001 Wroc?w
Bar Przewaga;17.0404388;51.1281804;3.0;1.0;Czes?wa Mi?sza, 50-001 Wroc?w
Przewaga Bistro;17.0404818;51.128446399999994;3.1;33.0;Antoniego S?nimskiego 1a, 50-304 Wroc?w
Kebab Hut;17.037188;51.129853600000004;1.7;30.0;Zak?dowa 2/4, 50-231 Wroc?w
Pizza Hut Wroc?w LECLERC;17.039001199999998;51.1301987;2.6;22.0;ul. Zak?dowa 2-4 79, 50-231 Wroc?w
Domino's Pizza;17.0430137;51.1297871;4.2;100.0;Antoniego S?nimskiego, 50-304 Wroc?w
Agora. Restauracja;17.019175399999998;51.1349255;4.5;46.0;Serbska 5, 50-001 Wroc?w
Pizzeria Simon;17.0220513;51.1357153;4.6;140.0;Jugos?wia?? 65A, 50-001 Wroc?w
Pyza;17.0353987;51.134679;4.0;146.0;Zawalna 5A, 52-443 Wroc?w
Projekt Pizza Zawalna;17.036271399999997;51.1348466;4.3;25.0;Zawalna 11a, 51-118 Wroc?w
Kebab Al Madina;17.0384971;51.136525899999995;4.2;68.0;Al. Kasprowicza 24, 51-137 Wroc?w
Zbyszko Bar;17.0303691;51.1387901;4.5;86.0;Ba?ycka 21, 50-001 Wroc?w
Pizza Station;17.0260164;51.138704;4.6;402.0;Obornicka 64, 51-114 Wroc?w
Hanoi;17.0271847;51.1392768;3.5;106.0;Teodora Parnickiego 3, 51-116 Wroc?w
R??y Chru?iak;17.020127600000002;51.1397622;4.4;14.0;Bezpieczna 28a, 51-114 Wroc?w
Paczka Smak??bornicka 86A, 51-112 Wroc?w;17.0244109;51.1407891;4.6;19.0;https://www.facebook.com/PaczkaSmakow/
Pizzeria Uno;17.032384699999998;51.1411874;3.5;96.0;Kamie??ego 12, 51-124 Wroc?w
Sztuciec Bar;17.0394177;51.147034999999995;4.4;7.0;Kamie??ego 100, 50-001 Wroc?w
Cafe Bar - bufet szpitalny;17.042375500000002;51.1478441;4.5;2.0;Kamie??ego, 50-001 Wroc?w
Bar Domowe Posi?i;17.0288448;51.1482437;3.5;6.0;?igrodzka 141, 51-130 Wroc?w
Nowy Park;17.0232299;51.1476525;4.2;33.0;Wo?wska 12, 50-001 Wroc?w
Prost;17.0240812;51.1491052;4.6;62.0;Paprotna, 51-117 Wroc?w
Restauracja McDonald's;17.025088399999998;51.1509381;4.0;643.0;Paprotna 7, 50-001 Wroc?w
Kantyna 15;17.018773;51.118112200000006;5.0;1.0;Romana Dmowskiego 15, 50-203 Wroc?w
Woo Thai;17.016014300000002;51.113632200000005;4.3;43.0;Rybacka 11, 11-400 Wroc?w
Manhattan Pizza & Restaurant;17.0164872;51.1132164;3.3;59.0;Rybacka 7, 11-400 Wroc?w
Asia Cusine KimLoe's;17.0169452;51.113043499999996;4.3;50.0;plac Solidarno?i 1-3-5, 53-661 Wroc?w
Sawara Gyros;17.0156404;51.1132083;4.4;234.0;Legnicka 17, 53-671 Wroc?w
Bar rybny Krab;17.0182073;51.1114434;4.5;83.0;Sokolnicza 7/17, 53-676 Wroc?w
Wow Barr Sokolnicza - Thai & Polish Food;17.017943300000002;51.1113805;4.9;8.0;Pawilon 5, Sokolnicza 7/17, 53-676 Wroc?w
Poci?ij Pizz?l. Sokolnicza 7-17 paw. 31, 53-676 Wroc?w;17.0177903;51.111129299999995;2.7;38.0;pocisnijpizze.pl
Etna Pizzeria.;17.017492999999998;51.111191999999996;2.7;139.0;Sokolnicza 7/17, 11-400 Wroc?w
Pierogarnia Kuchnia Domowa;17.012329100000002;51.1131857;4.1;61.0;Legnicka 23, 53-671 Wroc?w
Restauracja Hong Ha (Poznaj Wietnam od kuchni);17.0105632;51.1124081;4.3;100.0;Legnicka 32, 11-400 Wroc?w
Brat wur01:00;17.0047774;51.1122914;3.9;8.0;Braniborska 87, 11-400 Wroc?w
Cantone Pizza;17.010945800000002;51.1176989;4.5;26.0;?inawska, 53-648 Wroc?w
Restauracja McDonald's;17.0220007;51.1163122;3.8;739.0;Ksi?a Witolda 6, 50-001 Wroc?w
Cardamon;17.0026141;51.1118181;4.5;31.0;Strzegomska 2, 54-430 Wroc?w
