nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Karczma Koala Grill;Wróblewskiego 1-5, 50-001 Wrocław;http://www.koala-wroclaw.pl/;51.1038317;17.0731533;3,2;93;NaN;NaN;NaN;NaN;NaN;Casual;Groups;NaN;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;18:00:00;0
Pergola;Wystawowa 1, 51-618 Wrocław;http://restauracja-pergola.pl/;51.1073349;17.0769763;3,3;230;Fireplace,Live music;NaN;NaN;NaN;bar onsite,Good for kids;Casual,Cosy;Groups;cash;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;0
Pizza Ciao Ciao Biskupin;Rzeźbiarska 4, 51-629 Wrocław;https://www.pizzaciaociao.pl/;51.0991645;17.0834704;3,9;121;NaN;Wheelchair accessible entrance;late-night food,Vegetarian options;Lunch,Dinner,delivery;NaN;Casual,Cosy;Groups;debit card;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Monster Cook;Karola Olszewskiego 23B, 51-642 Wrocław;https://www.facebook.com/MonsterBiskupin/;51.1015876;17.0971186;4,6;24;Outdoor seating;Wheelchair accessible entrance;Vegetarian options;Lunch,Dinner,Catering,delivery;NaN;Casual;Family friendly;debit card;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;12:00:00;20:00:00;12:00:00;19:00:00;0
Kasieńka;Piotra Michałowskiego 3, 51-637 Wrocław;http://www.ka08:00nka.pl/;51.1015881;17.1038662;3,9;54;NaN;NaN;Beer,Wine;NaN;NaN;Casual,Cosy;Groups;NaN;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;0
Reset bistro;Maksymiliana Jackowskiego 55A, 51-665 Wrocław;https://www.reset-bistro.pl/;51.1038041;17.110538;4,4;43;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Casual;NaN;NaN;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;Closed;Closed;0
Mai Lan;Marcelego Bacciarellego 20, 50-001 Wrocław;http://mailan.pl/bacciarellego/;51.1056465;17.1119703;4,1;31;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;1
Lody z Mleka;Marcelego Bacciarellego 6, 50-001 Wrocław;https://m.facebook.com/lodyzmleka/;51.1056465;17.1119703;4,6;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;18:00:00;0
Cukiernia Magdalenka;Emilii PLate-night foodr 18, 50-001 Wrocław;https://www.facebook.com/cukierniamagdalenka/;51.1063854;17.108121;4,4;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;08:00:00;16:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;08:00:00;18:00:00;09:00:00;18:00:00;10:00:00;18:00:00;0
Pizza Station Wielka Wyspa;Edwarda Dembowskiego 63, 51-669 Wrocław;https://www.pizzastation.pl/en/dembowskiego?select=1;51.1064818;17.1055799;4,2;293;Outdoor seating;Wheelchair accessible entrance;Beer,Wine,late-night food, Vegetarian options;Lunch,Dinner,Catering,delivery,Seating ;Good for kids,High chairs,toilet;Casual,Cosy;Family friendly, Groups;debit card;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;12:00:00;22:00:00;12:00:00;21:00:00;1
KOI Sushi Bar II;Dembowskiego 18, 51-670 Wrocław;http://www.koisushibar.eu/;51.1069361;17.0921187;4,7;113;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Casual,Cosy;Groups;NaN;Closed;Closed;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;1
La Habana-Mercado Latino;8 Maja 86 1/b, 51-671 Wrocław;http://mercado-latino.pl/;51.1069361;17.0921187;4,5;168;Great cocktails,Live music,Outdoor seating;Wheelchair accessible entrance;Beer,Happy hour food,Vegetarian options,Wine;Lunch,Dinner,Catering,delivery,dessert,Seating;bar onsite,Good for kids,High chairs,Wi-Fi;Casual,Cosy;Family friendly,Groups;debit card;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;20:00:00;0
Coś Słodkiego;Edwarda Dembowskiego 18/1A, 50-001 Wrocław;https://www.facebook.com/cos.slodkiego.71;51.1072628;17.0936529;4,6;31;NaN;Wheelchair accessible entrance;Vegetarian options;Breakfast,dessert;Good for kids;Casual,Cosy;Family friendly;debit card;12:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;0
Confectionery Carolin & Simon.;Partyzant??6, 51-672 Wroc?w;http://www.08:00mionko.pl/;51.1082485;17.0943199;4,2;174;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;18:00:00;20:00:00;18:00:00;20:00:00;18:00:00;20:00:00;18:00:00;20:00:00;18:00:00;20:00:00;18:00:00;20:00:00;11:00:00;20:00:00;0
Casa della pizza Wroclaw;Partyzant??1, 51-672 Wroc?w;http://casadellapizza-pizzadeliveryservice.business.Seatinge/;51.1088177;17.0964062;4,3;271;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;22:00:00;0
Pizzeria Mamma Mia S?lno;Jana Szanieckiego 68, 50-001 Wroc?w;http://mammamiasepolno.com/;51.1112388;17.1010084;4,2;91;NaN;Wheelchair accessible entrance,Wheelchair accessible seating;late-night food;delivery;NaN;Casual;NaN;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
GastroBaza;Adama Mickiewicza 62, 51-620 Wroc?w;NaN;51.1133847;17.0973698;3,6;42;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual,Cosy;Groups;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;0
Cztery Pory Roku;Adama Mickiewicza 62, 51-684 Wroc?w;NaN;51.1133847;17.0973698;4,6;23;NaN;Wheelchair accessible entrance;Beer,Wine;NaN;bar onsite;Casual,Cosy;Groups;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Przestrze??eja Ignacego Jana Paderewskiego 35, 51-612 Wroc?w;https://www.facebook.com/przestrzenpub/;NaN;51.1136736;17.0920237;4,8;66;NaN;Wheelchair accessible entrance;Beer;NaN;toilet;Casual,Cosy,Trending;NaN;NaN;14:00:00;22:00:00;14:00:00;22:00:00;14:00:00;22:00:00;14:00:00;22:00:00;14:00:00;22:00:00;14:00:00;22:00:00;14:00:00;22:00:00;0
Sofa Lounge & Restaurant;aleja Ignacego Jana Paderewskiego 35, 51-612 Wroc?w;http://www.sofa.wroclaw.pl/;51.1196409;17.0920608;4,2;41;Great cocktails;NaN;Beer,Wine;NaN;bar onsite, Good for kids;Casual,Cosy;Groups;NaN;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;0
American Restaurants Sp. z o.o.;Karola Szymanowskiego 2, 51-609 Wroc?w;NaN;51.1174824;17.0823794;4,2;5;NaN;NaN;NaN;NaN;NaN;Casual;Groups;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Pizza nel Parco;aleja Ludomira R??kiego 1, 51-608 Wroc?w;http://www.pizzanelparco.pl/;51.1150175;17.0736796;4,5;319;Fireplace,Outdoor seating;Wheelchair accessible entrance;Beer,Wine;Lunch,Dinner,delivery,Seating;Good for kids,toilet,High chairs;Casual,Cosy;Groups, Family friendly;debit card;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Restauracja Lwia Brama?;Katedralna 9, 50-328 Wroc?w;http://www.restauracjalwiabrama.pl/;51.1142477;17.0436798;4,4;196;Outdoor seating;NaN;Beer,Kids' menu,late-night food,Organic dishes,Vegetarian options,Wine;Lunch,Dinner,dessert,Seating;bar onsite,High chairs,toilet,Wi-Fi;Casual,Cosy;Groups, Family friendly;debit card;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;22:00:00;0
Cafeteria Chic;Katedralna 6, 50-996 Wroc?w;NaN;51.1143757;17.0440016;3,4;87;NaN;NaN;NaN;NaN;NaN;Casual,Cosy;NaN;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;0
Restauracja Katedralna;?i?go Idziego 2, 48-300 Wroc?w;http://www.hotel-jp2.pl/;51.1146665;17.0445257;3,5;2;NaN;NaN;Beer,Wine;NaN;bar onsite;Casual,Cosy;Groups;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
RAMZES;Sienkiewicza 29a, 50-335 Wroc?w;https://www.gyros-ramzes.pl/;51.1164766;17.0516051;4;248;NaN;NaN;late-night food;delivery;NaN;Casual,Cosy;Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;0
Polish Lody;plac Bema 3, 50-265 Wroc?w;plac Bema 3, 50-265 Wroc?w;51.1165451;17.0420789;4,5;1053;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;21:00:00;10:00:00;22:00:00;1
#zjedzburgera;plac Bema 6, 48-300 Wroc?w;http://zjedzburgera.pl/;51.1168898;17.0423049;3,7;146;NaN;Wheelchair accessible entrance;Salad bar;Seating;toilet;Casual,Cosy;Groups,Family friendly;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;22:00:00;0
Pierogi - Obiady Domowe;Mieszka I 1, 48-300 Wroc?w;NaN;51.1168898;17.0423049;4,4;19;NaN;NaN;NaN;NaN;Good for kids;Casual;NaN;NaN;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;11:00:00;17:00:00;NaN;Closed;0
Bar Trzy Schody;Mieszka I 1/1a, 50-327 Wroc?w;https://www.facebook.com/domoweobiady3005/;51.1168898;17.0423049;4,1;19;NaN;NaN;NaN;NaN;toilet;Casual, Cosy;NaN;NaN;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;11:00:00;17:00:00;NaN;Closed;0
Ragu Pracownia Makaronu;Sienkiewicza 34A, 50-335 Wroc?w;https://ragu.pl/wordpress/;51.1169144;17.0487307;4,5;622;Great cocktails;Wheelchair accessible entrance;Beer,Wine;NaN;bar onsite, Good for kids;Casual, Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Mexico Bar;S?-Szarzy??ego 59, 48-300 Wroc?w;https://www.facebook.com/MexicoBarSepa/;51.1169059;17.0490255;4,5;311;Great cocktails;NaN;Beer,Wine,Kids' menu,late-night food, Vegetarian options;delivery;bar onsite, Good for kids;Casual, Cosy;Groups;NaN;Closed;Closed;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;0
Da Grasso;Wyszy??ego 71, 50-332 Wroc?w;https://www.dagrasso.pl/wroclaw-wyszynskiego;51.1180159;17.0503246;3,1;137;NaN;NaN;NaN;delivery;Good for kids;Casual;Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;12:00:00;22:00:00;11:00:00;22:00:00;1
"FU ""Domowe obiady""";S?-Szarzy??ego 67B, 48-300 Wroc?w;NaN;51.11758;17.0521283;4,5;129;NaN;NaN;NaN;NaN;toilet;Casual, Cosy;NaN;NaN;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;12:00:00;18:00:00;Closed;Closed;Closed;Closed;0
Bar Piero?k;Ksi?a J??a Poniatowskiego 3, 50-326 Wroc?w;http://barpierozek.wroclaw.pl/;51.1193174;17.0442335;4,6;291;NaN;NaN;Kids' menu, Vegetarian options;Lunch, Seating;Good for kids, toilet;Casual, Cosy;Family friendly, Groups;debit card;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;16:00:00;Closed;Closed;0
Barnaba. Bar;Wygodna 13, 50-323 Wroc?w;Nan;51.1231099;17.046246;4,5;31;NaN;NaN;NaN;NaN;toilet;Casual, Cosy;NaN;NaN;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;00:00:00;Closed;Closed;0
Pizza na dow??roc?w - Pizzeria ProPizza!;Karola Miarki 14, 50-306 Wroc?w;http://www.propizza.pl/;51.1267564;17.050425;4,3;119;Fireplace, Live music;NaN;Halal food;delivery;NaN;Casual;Family friendly;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
4 Seasons;Stefana Jaracza 77, 50-305 Wroc?w;http://4poryroku.wroclaw.pl/;51.1282084;17.0567801;4,5;137;Great cocktails;Wheelchair accessible entrance, Wheelchair accessible seating;Beer, Wine;NaN;bar onsite, Good for kids;Casual, Cosy;Groups;NaN;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;12:00:00;21:00:00;0
Ti Amo!;Stefana Jaracza 57/57a, 48-300 Wroc?w;http://pizza-tiamo.pl/;51.1264499;17.0581585;4,5;221;NaN;Wheelchair accessible entrance;Beer, Wine;delivery;bar onsite, Good for kids;Casual, Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
A'ola;Damrota 33B, 50-306 Wroc?w;https://www.facebook.com/Aolarestauracja/;51.1245499;17.056249;3,9;23;Live music, Outdoor seating;Wheelchair accessible, Wheelchair accessible entrance, Wheelchair accessible seating, Wheelchair accessible toilet;Beer, Kids' menu, late-night food, Organic dishes, Vegetarian options, Wine;Lunch, Dinner, dessert, Seating;bar onsite, Good for kids, High chairs, toilet, Wi-Fi;Casual;Family friendly;Credit cards;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Green Bus;Stanis?wa Dubois 2/1A, 50-208 Wroc?w;https://www.facebook.com/greenbus.wege;51.1209331;"17.0320864	";4,8;191;NaN;NaN;wegan;NaN;Good for kids;Cosy, Casual;NaN;NaN;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;0
Nadodrze Cafe Resto Bar;Drobnera 26A, 50-257 Wroc?w;https://www.facebook.com/nadodrze.restauracja;51.1209331;"17.0320864	";4,3;458;Great cocktails;Wheelchair accessible entrance;beer, wine;NaN;Good for kids;Cosy, Casual;Groups;NaN;12:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;0
Mamine Smaki;Pomorska 27, 52-007 Wroc?w;maminesmaki.pl;51.1209331;"17.0320864	";4,7;60;NaN;NaN;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;10:00:00;17:00:00;10:00:00;17:00:00;10:00:00;17:00:00;10:00:00;17:00:00;10:00:00;17:00:00;closed;Closed;closed;Closed;0
Powoli;Ludwika Rydygiera 25, 48-300 Wroc?w;https://www.facebook.com/sniadaniaiobiady/;51.120135;"17.0325478	";4,5;125;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;10:00:00;16:00:00;closed;Closed;0
Ogie??;Morska 39, 50-216 Wroc?w;https://www.facebook.com/ogien.wro;51.1199044;"17.031153	";4,5;269;NaN;NaN;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;closed;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;22:00:00;0
Wroclov Bar;W?ka 5, 50-249 Wroc?w;https://www.facebook.com/wroclovbar/;51.1197394;"17.0284011	";4,1;22;NaN;Wheelchair accessible toilet, Wheelchair accessible entrance;beer;NaN;toilet ,Good for kids;Casual;Groups;debit card;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;0
Bistro Naro?ik;Ludwika Rydygiera 30, 50-001 Wroc?w;https://www.facebook.com/bistronaroznik/;51.1196047;"17.0301606	";4,5;377;NaN;NaN;NaN;NaN;NaN;Cosy, Casual;Groups;NaN;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;0
Wilk Syty;Trzebnicka 3, 50-231 Wroc?w;https://www.facebook.com/WilkSytyWroclaw/;51.120795;"17.0343019	";4,7;277;NaN;NaN;vegan;dinner, catering, Seating;toilet, Good for kids;Cosy, Casual;Family friendly, Groups;NaN;closed;Closed;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;20:00:00;0
Thai-viet;Henryka Pobo?ego 8, 48-300 Wroc?w;NaN;51.1207723;"17.0366891	";4;50;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;closed;Closed;1
Pizza Rino;Jedno?i Narodowej 88/1C, 50-261 Wroc?w;NaN;51.1208649;"17.0374562	";4,7;213;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;closed;Closed;closed;Closed;closed;Closed;closed;Closed;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
KluboKawiarnia Wincentego 21;?i?go Wincentego 21, 50-001 Wroc?w;https://www.facebook.com/wincentego21/;51.1224423;"17.0306649	";3,7;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;0
Bar Przewaga;Czes?wa Mi?sza, 50-001 Wroc?w;przewagabistro.pl;51.1281804;"17.0404388	";3;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Przewaga Bistro;Antoniego S?nimskiego 1a, 50-304 Wroc?w;przewagabistro.pl;51.1284464;"17.0404818	";3,1;33;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Casual;Groups;NaN;08:00:00;16:00:00;08:00:00;16:00:00;08:00:00;16:00:00;08:00:00;16:00:00;08:00:00;16:00:00;closed;Closed;closed;Closed;0
Kebab Hut;Zak?dowa 2/4, 50-231 Wroc?w;NaN;51.1298536;"17.037188	";1,7;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;1
Pizza Hut Wroc?w LECLERC;ul. Zak?dowa 2-4 79, 50-231 Wroc?w;pizzahut.pl;51.1301987;"17.0390012	";2,6;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;23:00:00;1
Domino's Pizza;Antoniego S?nimskiego, 50-304 Wroc?w;dominospizza.pl;51.1297871;"17.0430137	";4,2;100;NaN;Wheelchair accessible entrance;Late-night food, vegan;delivery;Good for kids;Cosy, Casual;Groups;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;1
Agora. Restauracja;Serbska 5, 50-001 Wroc?w;restauracjaagora.pl;51.1349255;"17.0191754	";4,5;46;Great cocktails;Wheelchair accessible entrance;beer, wine;NaN;Good for kids;Cosy, Casual;Groups;NaN;13:00:00;19:00:00;13:00:00;19:00:00;13:00:00;19:00:00;13:00:00;19:00:00;13:00:00;19:00:00;13:00:00;19:00:00;12:00:00;18:00:00;0
Pizzeria Simon;Jugos?wia?? 65A, 50-001 Wroc?w;pizzeria-simon.pl;51.1357153;"17.0220513	";4,6;140;NaN;NaN;beer, vegan;delivery;toilet, Good for kids;Cosy, Casual;Groups;nfc;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;0
Pyza;Zawalna 5A, 52-443 Wroc?w;https://www.facebook.com/Bar-Pyza-613572922062076;51.134679;"17.0353987	";4;146;Garden;NaN;beer, salad, Kids' menu;catering, delivery;do_karmienia, Good for kids, toilet;Cosy, Casual;Family friendly, Groups;cash;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;0
Projekt Pizza Zawalna;Zawalna 11a, 51-118 Wroc?w;projektpizza.pl;51.1348466;"17.0362714	";4,3;25;NaN;NaN;NaN;delivery;NaN;Cosy, Casual;NaN;NaN;11:00:00;22:30:00;11:00:00;22:30:00;11:00:00;22:30:00;11:00:00;22:30:00;11:00:00;22:30:00;11:00:00;22:30:00;11:00:00;22:30:00;1
Kebab Al Madina;Al. Kasprowicza 24, 51-137 Wroc?w;https://www.facebook.com/Kasprowicza24/;51.1365259;"17.0384971	";4,2;68;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Casual;Groups;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;0
Zbyszko Bar;Ba?ycka 21, 50-001 Wroc?w;https://www.facebook.com/ZbyszkoBar/;51.1387901;"17.0303691	";4,5;86;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;NaN;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;closed;Closed;0
Pizza Station;Obornicka 64, 51-114 Wroc?w;pizzastation.pl;51.138704;"17.0260164	";4,6;402;NaN;Wheelchair accessible entrance;Kids' menu, Late-night food, vegan;dinner, supper,catering, delivery;toilet, Good for kids;Casual;Family friendly;debit card;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;12:00:00;00:00:00;12:00:00;00:00:00;1
Hanoi;Teodora Parnickiego 3, 51-116 Wroc?w;ha-noi.com.pl;51.1392768;"17.0271847	";3,5;106;NaN;NaN;NaN;delivery;NaN;Casual;Groups;NaN;10:00:00;23:30:00;10:00:00;23:30:00;10:00:00;23:30:00;10:00:00;23:30:00;10:00:00;23:30:00;11:00:00;22:00:00;10:00:00;23:30:00;1
R??y Chru?iak;Bezpieczna 28a, 51-114 Wroc?w;rozanychrusniak.eatbu.com;51.1397622;"17.0201276	";4,4;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;19:00:00;12:00:00;15:00:00;closed;Closed;0
Paczka Smak??bornicka 86A, 51-112 Wroc?w;https://www.facebook.com/PaczkaSmakow/;NaN;51.1407891;"17.0244109	";4,6;19;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;closed;Closed;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Pizzeria Uno;Kamie??ego 12, 51-124 Wroc?w;NaN;51.1411874;"17.0323847	";3,5;96;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;0
Sztuciec Bar;Kamie??ego 100, 50-001 Wroc?w;NaN;51.147035;"17.0394177	";4,4;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;19:00:00;11:00:00;16:00:00;closed;NaN;0
Cafe Bar - bufet szpitalny;Kamie??ego, 50-001 Wroc?w;NaN;51.1478441;"17.0423755	";4,5;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;07:00:00;18:00:00;07:00:00;18:00:00;07:00:00;18:00:00;07:00:00;18:00:00;07:00:00;18:00:00;07:00:00;16:00:00;07:00:00;16:00:00;0
